Equipo,Liga,Puntos,GolesAFavor,GolesEnContra,Victorias,Empates,Derrotas,PartidosJugados,DifGoles,PromPuntosPorPartido,PorcVictorias
Barcelona,LALIGA,58,63,23,19,1,3,23,40,2.5217391304347827,82.6086956521739
Real Madrid,LALIGA,57,49,18,18,3,2,23,31,2.4782608695652173,78.26086956521739
Atlético Madrid,LALIGA,45,38,18,13,6,4,23,20,1.9565217391304348,56.52173913043478
Villarreal,LALIGA,45,43,24,14,3,5,22,19,2.0454545454545454,63.63636363636363
Real Betis,LALIGA,38,37,28,10,8,5,23,9,1.6521739130434783,43.47826086956522
Espanyol,LALIGA,34,27,31,10,4,9,23,-4,1.4782608695652173,43.47826086956522
Celta Vigo,LALIGA,33,30,25,8,9,6,23,5,1.434782608695652,34.78260869565217
Real Sociedad,LALIGA,31,33,31,8,7,8,23,2,1.3478260869565217,34.78260869565217
Osasuna,LALIGA,29,28,28,8,5,10,23,0,1.2608695652173914,34.78260869565217
Athletic Club,LALIGA,28,25,33,8,4,11,23,-8,1.2173913043478262,34.78260869565217
Getafe,LALIGA,26,18,27,7,5,11,23,-9,1.1304347826086956,30.434782608695656
Girona,LALIGA,26,22,37,6,8,9,23,-15,1.1304347826086956,26.08695652173913
Sevilla,LALIGA,25,30,38,7,4,12,23,-8,1.0869565217391304,30.434782608695656
Alavés,LALIGA,25,20,29,7,4,12,23,-9,1.0869565217391304,30.434782608695656
Elche,LALIGA,24,31,35,5,9,9,23,-4,1.0434782608695652,21.73913043478261
Mallorca,LALIGA,24,28,37,6,6,11,23,-9,1.0434782608695652,26.08695652173913
Valencia,LALIGA,23,23,37,5,8,10,23,-14,1.0,21.73913043478261
Rayo Vallecano,LALIGA,22,18,30,5,7,10,22,-12,1.0,22.727272727272727
Levante,LALIGA,18,26,38,4,6,12,22,-12,0.8181818181818182,18.181818181818183
Real Oviedo,LALIGA,16,12,34,3,7,12,22,-22,0.7272727272727273,13.636363636363635
Arsenal,Premier League,56,49,17,17,5,3,25,32,2.24,68.0
Manchester City,Premier League,53,54,24,16,5,5,26,30,2.0384615384615383,61.53846153846154
Aston Villa,Premier League,50,37,27,15,5,6,26,10,1.9230769230769231,57.692307692307686
Manchester United,Premier League,45,47,37,12,9,5,26,10,1.7307692307692308,46.15384615384615
Chelsea,Premier League,44,47,30,12,8,6,26,17,1.6923076923076923,46.15384615384615
Liverpool,Premier League,42,41,35,12,6,8,26,6,1.6153846153846154,46.15384615384615
Brentford,Premier League,39,39,34,12,3,10,25,5,1.56,48.0
Everton,Premier League,37,29,30,10,7,9,26,-1,1.4230769230769231,38.46153846153847
AFC Bournemouth,Premier League,37,43,45,9,10,7,26,-2,1.4230769230769231,34.61538461538461
Newcastle United,Premier League,36,37,37,10,6,10,26,0,1.3846153846153846,38.46153846153847
Sunderland,Premier League,36,27,30,9,9,8,26,-3,1.3846153846153846,34.61538461538461
Fulham,Premier League,34,35,40,10,4,12,26,-5,1.3076923076923077,38.46153846153847
Crystal Palace,Premier League,32,28,32,8,8,10,26,-4,1.2307692307692308,30.76923076923077
Brighton & Hove Albion,Premier League,31,34,34,7,10,9,26,0,1.1923076923076923,26.923076923076923
Leeds United,Premier League,30,36,45,7,9,10,26,-9,1.1538461538461537,26.923076923076923
Tottenham Hotspur,Premier League,29,36,37,7,8,11,26,-1,1.1153846153846154,26.923076923076923
Nottingham Forest,Premier League,27,25,38,7,6,13,26,-13,1.0384615384615385,26.923076923076923
West Ham United,Premier League,24,32,49,6,6,14,26,-17,0.9230769230769231,23.076923076923077
Burnley,Premier League,18,28,51,4,6,16,26,-23,0.6923076923076923,15.384615384615385
Wolverhampton Wanderers,Premier League,9,16,48,1,6,19,26,-32,0.34615384615384615,3.8461538461538463
